state_name,date_local,aqi_o3
Alaska,2021-01-01,18.0
Rhode Island,2021-01-01,27.0
Ohio,2021-01-01,17.833333333333332
Utah,2021-01-01,32.692307692307693
Maine,2021-01-01,29.166666666666668
Arizona,2021-01-01,37.975609756097562
Florida,2021-01-01,28.965517241379313
Indiana,2021-01-01,19.15384615384615
Illinois,2021-01-01,21.6
Maryland,2021-01-01,20.666666666666668
Oklahoma,2021-01-01,30.153846153846153
Virginia,2021-01-01,20.111111111111114
Louisiana,2021-01-01,30.136363636363633
Wisconsin,2021-01-01,24.5
Washington,2021-01-01,36.0
Connecticut,2021-01-01,25.5
Mississippi,2021-01-01,29.0
New Hampshire,2021-01-01,30.142857142857142
West Virginia,2021-01-01,23.666666666666668
Delaware,2021-01-01,21.0
Hawaii,2021-01-01,30.0
Nebraska,2021-01-01,26.5
Vermont,2021-01-01,31.333333333333332
District Of Columbia,2021-01-01,18.666666666666668
Iowa,2021-01-01,23.0
Texas,2021-01-01,29.299999999999994
Nevada,2021-01-01,31.428571428571427
Alabama,2021-01-01,30.0
Montana,2021-01-01,26.0
Arkansas,2021-01-01,21.625
Michigan,2021-01-01,24.428571428571427
Missouri,2021-01-01,22.0
New York,2021-01-01,27.25925925925926
California,2021-01-01,27.825806451612912
New Mexico,2021-01-01,31.650000000000002
Pennsylvania,2021-01-01,21.163265306122447
North Carolina,2021-01-01,22.5
South Carolina,2021-01-01,19.0
Idaho,2021-01-01,30.0
Puerto Rico,2021-01-01,19.0
Kansas,2021-01-01,30.111111111111111
Oregon,2021-01-01,34.0
Georgia,2021-01-01,24.0
Wyoming,2021-01-01,33.91304347826086
Colorado,2021-01-01,34.205882352941174
Kentucky,2021-01-01,25.0
Minnesota,2021-01-01,24.25
Tennessee,2021-01-01,28.6
New Jersey,2021-01-01,19.583333333333336
North Dakota,2021-01-01,22.666666666666671
South Dakota,2021-01-01,30.833333333333332
Massachusetts,2021-01-01,27.235294117647058
Rhode Island,2021-01-02,28.0
Utah,2021-01-02,31.53846153846154
Texas,2021-01-02,32.442857142857136
Alabama,2021-01-02,25.0
Georgia,2021-01-02,22.0
Arkansas,2021-01-02,26.249999999999996
Kentucky,2021-01-02,16.333333333333332
Maryland,2021-01-02,21.5
Missouri,2021-01-02,19.5
Virginia,2021-01-02,22.333333333333329
Minnesota,2021-01-02,26.0
Wisconsin,2021-01-02,27.0
Mississippi,2021-01-02,20.0
New Hampshire,2021-01-02,32.285714285714285
West Virginia,2021-01-02,22.666666666666668
Delaware,2021-01-02,21.142857142857142
Hawaii,2021-01-02,28.5
Idaho,2021-01-02,28.333333333333332
Nebraska,2021-01-02,28.5
Vermont,2021-01-02,28.0
Puerto Rico,2021-01-02,15.0
Iowa,2021-01-02,24.0
Nevada,2021-01-02,31.904761904761912
Oregon,2021-01-02,33.0
Arizona,2021-01-02,36.512195121951216
Indiana,2021-01-02,19.076923076923077
New York,2021-01-02,27.222222222222221
Louisiana,2021-01-02,23.636363636363644
California,2021-01-02,25.896774193548389
Connecticut,2021-01-02,27.0
North Dakota,2021-01-02,24.888888888888893
Pennsylvania,2021-01-02,19.714285714285712
South Dakota,2021-01-02,31.833333333333336
Massachusetts,2021-01-02,27.705882352941178
Alaska,2021-01-02,26.5
District Of Columbia,2021-01-02,20.333333333333332
Ohio,2021-01-02,15.5
Maine,2021-01-02,28.333333333333332
Kansas,2021-01-02,26.222222222222221
Florida,2021-01-02,27.965517241379303
Montana,2021-01-02,32.499999999999993
Wyoming,2021-01-02,35.217391304347828
Colorado,2021-01-02,37.428571428571431
Illinois,2021-01-02,22.6
Michigan,2021-01-02,27.142857142857142
Oklahoma,2021-01-02,30.769230769230774
Tennessee,2021-01-02,27.8
New Jersey,2021-01-02,20.75
New Mexico,2021-01-02,33.9
Washington,2021-01-02,36.5
North Carolina,2021-01-02,21.5
South Carolina,2021-01-02,19.75
Nebraska,2021-01-03,23.5
Puerto Rico,2021-01-03,15.0
District Of Columbia,2021-01-03,15.0
Iowa,2021-01-03,24.5
Kansas,2021-01-03,25.444444444444443
Nevada,2021-01-03,33.714285714285722
Oregon,2021-01-03,30.5
Montana,2021-01-03,33.125
Kentucky,2021-01-03,21.0
Missouri,2021-01-03,24.0
Virginia,2021-01-03,15.555555555555555
Louisiana,2021-01-03,35.136363636363633
Minnesota,2021-01-03,27.5
Wisconsin,2021-01-03,28.5
New Jersey,2021-01-03,17.25
Connecticut,2021-01-03,22.75
Pennsylvania,2021-01-03,16.632653061224492
Massachusetts,2021-01-03,25.705882352941181
New Hampshire,2021-01-03,30.571428571428573
West Virginia,2021-01-03,17.333333333333332
Hawaii,2021-01-03,24.5
Rhode Island,2021-01-03,23.0
Vermont,2021-01-03,31.333333333333332
Utah,2021-01-03,28.038461538461537
Maine,2021-01-03,29.0
Texas,2021-01-03,37.929577464788721
Arizona,2021-01-03,37.658536585365852
Georgia,2021-01-03,26.0
Arkansas,2021-01-03,32.5
Maryland,2021-01-03,19.5
Michigan,2021-01-03,25.714285714285715
New York,2021-01-03,25.148148148148145
Oklahoma,2021-01-03,26.846153846153847
Tennessee,2021-01-03,28.8
California,2021-01-03,26.56774193548387
South Dakota,2021-01-03,29.666666666666668
Alaska,2021-01-03,25.0
Delaware,2021-01-03,19.714285714285715
Idaho,2021-01-03,33.666666666666664
Ohio,2021-01-03,15.5
Alabama,2021-01-03,34.0
Florida,2021-01-03,28.327586206896555
Indiana,2021-01-03,21.102564102564106
Wyoming,2021-01-03,34.739130434782609
Colorado,2021-01-03,36.657142857142851
Illinois,2021-01-03,25.8
New Mexico,2021-01-03,32.900000000000006
Washington,2021-01-03,35.25
Mississippi,2021-01-03,32.0
North Dakota,2021-01-03,26.666666666666668
North Carolina,2021-01-03,23.0
South Carolina,2021-01-03,26.25
Delaware,2021-01-04,17.285714285714285
Hawaii,2021-01-04,22.5
Idaho,2021-01-04,32.0
Rhode Island,2021-01-04,25.0
District Of Columbia,2021-01-04,14.0
Ohio,2021-01-04,20.833333333333332
Oregon,2021-01-04,29.0
Missouri,2021-01-04,19.5
Oklahoma,2021-01-04,29.714285714285715
Virginia,2021-01-04,16.444444444444443
Mississippi,2021-01-04,35.0
South Dakota,2021-01-04,31.0
North Carolina,2021-01-04,24.714285714285715
Nevada,2021-01-04,33.714285714285715
Indiana,2021-01-04,21.589743589743588
Montana,2021-01-04,30.375
Wyoming,2021-01-04,34.086956521739133
Illinois,2021-01-04,21.4
Kentucky,2021-01-04,31.0
New York,2021-01-04,22.111111111111111
Louisiana,2021-01-04,38.999999999999993
Tennessee,2021-01-04,35.0
Wisconsin,2021-01-04,25.0
California,2021-01-04,28.793548387096774
New Jersey,2021-01-04,18.25
New Mexico,2021-01-04,31.700000000000003
Washington,2021-01-04,34.666666666666664
Connecticut,2021-01-04,26.25
Massachusetts,2021-01-04,25.705882352941178
New Hampshire,2021-01-04,28.142857142857142
West Virginia,2021-01-04,19.666666666666668
South Carolina,2021-01-04,23.75
Alaska,2021-01-04,18.0
Nebraska,2021-01-04,28.0
Vermont,2021-01-04,25.666666666666668
Puerto Rico,2021-01-04,12.0
Iowa,2021-01-04,21.5
Utah,2021-01-04,31.807692307692307
Maine,2021-01-04,30.666666666666668
Texas,2021-01-04,35.338028169014095
Kansas,2021-01-04,27.888888888888889
Alabama,2021-01-04,34.0
Arizona,2021-01-04,35.414634146341477
Florida,2021-01-04,32.91379310344827
Georgia,2021-01-04,34.5
Arkansas,2021-01-04,31.75
Colorado,2021-01-04,32.171428571428571
Maryland,2021-01-04,16.0
Michigan,2021-01-04,27.142857142857142
Minnesota,2021-01-04,26.0
North Dakota,2021-01-04,27.888888888888886
Pennsylvania,2021-01-04,15.551020408163264
Nebraska,2021-01-05,25.0
Rhode Island,2021-01-05,26.0
Puerto Rico,2021-01-05,8.0
Alaska,2021-01-05,35.0
District Of Columbia,2021-01-05,12.666666666666666
Utah,2021-01-05,41.423076923076913
Kansas,2021-01-05,29.222222222222221
Oregon,2021-01-05,21.5
Florida,2021-01-05,40.1896551724138
Georgia,2021-01-05,32.0
Illinois,2021-01-05,25.0
Maryland,2021-01-05,17.333333333333336
Michigan,2021-01-05,20.571428571428573
Oklahoma,2021-01-05,31.785714285714281
Wisconsin,2021-01-05,22.75
New Jersey,2021-01-05,19.083333333333332
New Mexico,2021-01-05,37.2
Washington,2021-01-05,30.0
North Dakota,2021-01-05,23.555555555555557
Hawaii,2021-01-05,22.5
Maine,2021-01-05,32.5
Texas,2021-01-05,34.985915492957751
Arizona,2021-01-05,35.51219512195123
Indiana,2021-01-05,22.710526315789465
Montana,2021-01-05,32.375
Colorado,2021-01-05,38.142857142857146
Kentucky,2021-01-05,25.833333333333336
Missouri,2021-01-05,21.5
Virginia,2021-01-05,19.222222222222221
Tennessee,2021-01-05,27.8
South Dakota,2021-01-05,27.833333333333336
West Virginia,2021-01-05,21.666666666666668
Delaware,2021-01-05,18.571428571428573
Idaho,2021-01-05,32.333333333333336
Vermont,2021-01-05,26.333333333333332
Iowa,2021-01-05,18.5
Ohio,2021-01-05,21.833333333333336
Nevada,2021-01-05,29.571428571428573
Alabama,2021-01-05,27.5
Wyoming,2021-01-05,36.727272727272727
Arkansas,2021-01-05,32.125
New York,2021-01-05,24.962962962962962
Louisiana,2021-01-05,34.454545454545453
Minnesota,2021-01-05,17.75
California,2021-01-05,25.212903225806457
Connecticut,2021-01-05,26.25
Mississippi,2021-01-05,31.5
Pennsylvania,2021-01-05,20.326530612244905
Massachusetts,2021-01-05,26.5625
New Hampshire,2021-01-05,29.285714285714285
North Carolina,2021-01-05,26.571428571428573
South Carolina,2021-01-05,32.0
Delaware,2021-01-06,27.857142857142858
Iowa,2021-01-06,25.0
Utah,2021-01-06,33.615384615384627
Maine,2021-01-06,31.333333333333332
Kansas,2021-01-06,22.666666666666668
Oregon,2021-01-06,16.0
Alabama,2021-01-06,26.5
Georgia,2021-01-06,27.5
Wyoming,2021-01-06,35.681818181818187
Maryland,2021-01-06,29.333333333333332
New York,2021-01-06,28.81481481481482
Virginia,2021-01-06,25.333333333333332
New Mexico,2021-01-06,36.399999999999991
Connecticut,2021-01-06,27.0
New Hampshire,2021-01-06,31.0
West Virginia,2021-01-06,21.0
Vermont,2021-01-06,28.333333333333332
Puerto Rico,2021-01-06,12.0
Alaska,2021-01-06,38.0
District Of Columbia,2021-01-06,25.666666666666668
Texas,2021-01-06,30.94285714285714
Nevada,2021-01-06,28.476190476190478
Arizona,2021-01-06,35.78571428571427
Florida,2021-01-06,39.189655172413786
Indiana,2021-01-06,23.027027027027028
Montana,2021-01-06,27.375
Michigan,2021-01-06,21.285714285714285
Missouri,2021-01-06,19.25
Oklahoma,2021-01-06,24.857142857142858
Wisconsin,2021-01-06,24.0
Mississippi,2021-01-06,30.0
North Dakota,2021-01-06,24.333333333333332
Massachusetts,2021-01-06,28.1875
Hawaii,2021-01-06,21.5
Idaho,2021-01-06,32.0
Rhode Island,2021-01-06,29.0
Nebraska,2021-01-06,14.0
Ohio,2021-01-06,23.666666666666668
Arkansas,2021-01-06,28.875
Colorado,2021-01-06,33.657142857142865
Illinois,2021-01-06,25.8
Kentucky,2021-01-06,24.666666666666668
Louisiana,2021-01-06,32.090909090909086
Minnesota,2021-01-06,22.5
Tennessee,2021-01-06,30.6
California,2021-01-06,21.923076923076916
New Jersey,2021-01-06,28.000000000000004
Washington,2021-01-06,26.666666666666668
Pennsylvania,2021-01-06,27.666666666666661
South Dakota,2021-01-06,27.166666666666664
North Carolina,2021-01-06,27.857142857142858
South Carolina,2021-01-06,25.5
District Of Columbia,2021-01-07,29.333333333333332
Utah,2021-01-07,34.0
Maine,2021-01-07,31.5
Oregon,2021-01-07,21.0
Georgia,2021-01-07,21.5
Arkansas,2021-01-07,24.875
Colorado,2021-01-07,30.5
Missouri,2021-01-07,21.0
Oklahoma,2021-01-07,23.571428571428573
Virginia,2021-01-07,29.444444444444443
Minnesota,2021-01-07,23.5
Tennessee,2021-01-07,24.6
Wisconsin,2021-01-07,24.5
Washington,2021-01-07,25.666666666666668
Pennsylvania,2021-01-07,29.326530612244905
Massachusetts,2021-01-07,29.874999999999996
New Hampshire,2021-01-07,33.285714285714285
West Virginia,2021-01-07,31.333333333333332
South Carolina,2021-01-07,23.5
Delaware,2021-01-07,28.714285714285712
Nebraska,2021-01-07,19.5
Vermont,2021-01-07,31.0
Alaska,2021-01-07,38.0
Iowa,2021-01-07,24.5
Ohio,2021-01-07,26.5
Texas,2021-01-07,25.847222222222214
Kansas,2021-01-07,23.888888888888889
Nevada,2021-01-07,24.80952380952381
Arizona,2021-01-07,33.071428571428569
Indiana,2021-01-07,24.736842105263161
Montana,2021-01-07,20.5
Wyoming,2021-01-07,33.909090909090914
Michigan,2021-01-07,25.714285714285712
New York,2021-01-07,29.370370370370367
Louisiana,2021-01-07,26.045454545454547
Mississippi,2021-01-07,24.5
North Dakota,2021-01-07,20.222222222222221
South Dakota,2021-01-07,23.714285714285715
North Carolina,2021-01-07,25.857142857142858
Hawaii,2021-01-07,24.5
Idaho,2021-01-07,24.333333333333332
Rhode Island,2021-01-07,30.0
Puerto Rico,2021-01-07,7.0
Alabama,2021-01-07,28.0
Florida,2021-01-07,40.362068965517253
Illinois,2021-01-07,26.6
Kentucky,2021-01-07,26.833333333333336
Maryland,2021-01-07,30.833333333333336
California,2021-01-07,22.532051282051288
New Jersey,2021-01-07,28.5
New Mexico,2021-01-07,32.3
Connecticut,2021-01-07,30.0
Delaware,2021-01-08,24.0
Vermont,2021-01-08,29.333333333333332
Iowa,2021-01-08,30.0
Maine,2021-01-08,31.333333333333332
Kansas,2021-01-08,26.777777777777779
Colorado,2021-01-08,35.428571428571423
Kentucky,2021-01-08,24.5
Oklahoma,2021-01-08,24.399999999999995
Wisconsin,2021-01-08,28.75
Connecticut,2021-01-08,27.5
North Dakota,2021-01-08,14.888888888888889
South Dakota,2021-01-08,22.428571428571427
Nebraska,2021-01-08,19.5
Rhode Island,2021-01-08,30.0
Puerto Rico,2021-01-08,8.0
Ohio,2021-01-08,24.833333333333336
Texas,2021-01-08,27.222222222222229
Nevada,2021-01-08,32.571428571428577
Florida,2021-01-08,31.672413793103448
Georgia,2021-01-08,19.0
Wyoming,2021-01-08,32.227272727272734
Maryland,2021-01-08,24.0
Michigan,2021-01-08,28.0
Louisiana,2021-01-08,28.772727272727273
Tennessee,2021-01-08,22.0
California,2021-01-08,24.006369426751586
New Jersey,2021-01-08,22.166666666666668
Washington,2021-01-08,21.0
Pennsylvania,2021-01-08,24.519999999999996
North Carolina,2021-01-08,26.428571428571427
South Carolina,2021-01-08,21.0
Hawaii,2021-01-08,28.0
Idaho,2021-01-08,23.0
Alaska,2021-01-08,37.0
District Of Columbia,2021-01-08,23.0
Utah,2021-01-08,34.074074074074083
Oregon,2021-01-08,15.5
Alabama,2021-01-08,22.0
Arizona,2021-01-08,30.642857142857146
Indiana,2021-01-08,25.921052631578949
Montana,2021-01-08,23.25
Arkansas,2021-01-08,26.25
Illinois,2021-01-08,28.0
Missouri,2021-01-08,27.75
New York,2021-01-08,27.555555555555554
Virginia,2021-01-08,25.888888888888889
Minnesota,2021-01-08,23.5
New Mexico,2021-01-08,31.850000000000005
Mississippi,2021-01-08,24.5
Massachusetts,2021-01-08,29.624999999999996
New Hampshire,2021-01-08,33.666666666666664
West Virginia,2021-01-08,19.0
Delaware,2021-01-09,33.857142857142854
Idaho,2021-01-09,25.0
Iowa,2021-01-09,31.0
Maine,2021-01-09,36.166666666666671
Nevada,2021-01-09,33.428571428571423
Arizona,2021-01-09,37.690476190476183
Indiana,2021-01-09,25.131578947368421
Maryland,2021-01-09,34.333333333333336
Oklahoma,2021-01-09,27.733333333333334
Louisiana,2021-01-09,29.5
Minnesota,2021-01-09,23.0
New Jersey,2021-01-09,32.333333333333329
Mississippi,2021-01-09,28.0
West Virginia,2021-01-09,24.666666666666668
North Carolina,2021-01-09,28.428571428571431
