state_name,date_local,aqi_pm25
Alabama,2021-01-01,21.9
Alaska,2021-01-01,81.875
Arizona,2021-01-01,48.133333333333347
Arkansas,2021-01-01,12.166666666666666
California,2021-01-01,34.846153846153847
Colorado,2021-01-01,8.2727272727272734
Florida,2021-01-01,35.962962962962962
Georgia,2021-01-01,16.75
Idaho,2021-01-01,37.909090909090921
Illinois,2021-01-01,45.142857142857139
Iowa,2021-01-01,57.84210526315789
Louisiana,2021-01-01,21.444444444444446
Maine,2021-01-01,13.5
Michigan,2021-01-01,26.5
Montana,2021-01-01,17.000000000000004
New York,2021-01-01,36.333333333333336
North Carolina,2021-01-01,8.25
Ohio,2021-01-01,22.555555555555557
Oklahoma,2021-01-01,7.0
Oregon,2021-01-01,24.607843137254907
South Carolina,2021-01-01,22.0
Texas,2021-01-01,22.357142857142858
Virginia,2021-01-01,12.0
Washington,2021-01-01,24.400000000000009
Puerto Rico,2021-01-01,28.0
Vermont,2021-01-01,11.5
Connecticut,2021-01-01,9.0
Hawaii,2021-01-01,2.0
Kansas,2021-01-01,13.0
Kentucky,2021-01-01,6.0
Maryland,2021-01-01,12.0
Massachusetts,2021-01-01,13.0
Minnesota,2021-01-01,43.333333333333336
Missouri,2021-01-01,5.0
Nebraska,2021-01-01,4.0
Nevada,2021-01-01,1.0
New Hampshire,2021-01-01,14.0
New Jersey,2021-01-01,15.0
New Mexico,2021-01-01,4.8571428571428577
North Dakota,2021-01-01,7.5
Pennsylvania,2021-01-01,25.0
South Dakota,2021-01-01,3.0
Tennessee,2021-01-01,8.0
Utah,2021-01-01,13.399999999999999
West Virginia,2021-01-01,2.0
Wisconsin,2021-01-01,35.0
Wyoming,2021-01-01,2.75
Virgin Islands,2021-01-01,17.0
Alabama,2021-01-02,30.25
Alaska,2021-01-02,74.666666666666671
Arizona,2021-01-02,33.5
Arkansas,2021-01-02,16.75
California,2021-01-02,46.142857142857153
Colorado,2021-01-02,26.0
Florida,2021-01-02,29.043478260869563
Georgia,2021-01-02,21.4
Idaho,2021-01-02,22.80952380952381
Illinois,2021-01-02,54.166666666666664
Iowa,2021-01-02,71.941176470588232
Louisiana,2021-01-02,31.0
Maine,2021-01-02,18.0
Michigan,2021-01-02,26.0
Montana,2021-01-02,33.75
New York,2021-01-02,31.714285714285712
North Carolina,2021-01-02,18.0
Ohio,2021-01-02,16.375
Oklahoma,2021-01-02,18.5
Oregon,2021-01-02,18.045454545454547
South Carolina,2021-01-02,22.0
Texas,2021-01-02,21.416666666666668
Virginia,2021-01-02,12.0
Washington,2021-01-02,14.780487804878049
Puerto Rico,2021-01-02,22.0
Alabama,2021-01-03,30.625
Alaska,2021-01-03,6.333333333333333
Arizona,2021-01-03,29.0
Arkansas,2021-01-03,24.5
California,2021-01-03,51.472222222222221
Colorado,2021-01-03,30.0
Florida,2021-01-03,26.478260869565215
Georgia,2021-01-03,12.0
Idaho,2021-01-03,23.85
Illinois,2021-01-03,53.666666666666664
Iowa,2021-01-03,74.5
Louisiana,2021-01-03,38.714285714285708
Maine,2021-01-03,21.0
Michigan,2021-01-03,24.0
Montana,2021-01-03,20.5
New York,2021-01-03,35.761904761904766
North Carolina,2021-01-03,7.0
Ohio,2021-01-03,23.625
Oklahoma,2021-01-03,19.25
Oregon,2021-01-03,16.681818181818187
South Carolina,2021-01-03,19.6
Texas,2021-01-03,23.666666666666668
Virginia,2021-01-03,7.0
Washington,2021-01-03,13.585365853658537
Puerto Rico,2021-01-03,29.0
